abandon,"vt放弃,遗弃	vt放任,狂热"
abnormal,"adj反常的,变态的	"
abrupt,"adj.突然的,意想不到的;	陡的,险峻的"
absence,n.缺席	n.不注意;心不在焉
absolute,adj.绝对的；完全的；	adj确定的
absorb,vt.吸收（液体）；	vt.支付；负担
abstract,"n.摘要,概要,抽象	"
abundance,"n.丰富,充裕,丰富充裕	"
accelerate,v.加速	
access,"n.通路,访问,入门	v.存取,接近"
accompany,"v.陪伴,伴奏	"
accomplishment,"n.成就,完成,实现,达到	n.技艺,才能"
accurate,"adj.正确的,精确的	"
accuse,"v.控告,谴责,非难	"
accustom,v.使习惯于	
achieve,"v.完成,达到	"
acknowledge,"v.承认,答谢,报偿	"
acquaintance,"n.相识,熟人	"
acquisitive,"adj.想获得的,	"
actually,adj.实际上；真实地	
adapt,v.使适应；使适合	v.改编；改装
adequate,adj.足够的	adj.恰当的；胜任的
adopt,v.收养	v.采取；采用
advance,v.前进；增进	v.提前；提前支付
affective,"adj情感的,表达感情的	"
affluence,n.富裕	n.大量，丰富
aggression,"n.进攻,侵略	"
agony,n.极大的痛苦	
agriculture,"n.农业,农艺,农学	"
alert,"adj.提防的,警惕的	adj.警惕,警报"
alien,adj.（常与to连用）与…相反的；与…不同的	adj.外国的；外国人的
allegiance,n.忠诚	
alter,v.改变	
ambition,n.野心；雄心；企图	n.所希望的东西
amid,prep.在...中	
analyst,"n.分析家,分解者	"
ancient,n.古老的	
anonymous,adj.匿名的	
antenna,n.天线	
antisocial,adj.危害社会的	adj.自私的
anxious,adj.忧虑的；焦虑的，不安的	adj.渴望的
appeal,v.呼吁；恳求	v.上诉；诉诸于
appetite,n.食欲；胃口	欲望
appliance,n.设备；器械；装置	
appreciate,v.感激；感谢	v.鉴赏；欣赏；赏识
approach,vt.走近；靠近	n.途径；通路
appropriate,adj.正确的；适当的	
approximate,"adj.近似的,大约的	"
argue,"n.争论,辩论	n.说服"
arithmetic,"n.算术,算法	"
arrest,"v.逮捕,拘留,吸引	"
arrogant,"adj.傲慢的,自大的	"
artificial,adj.人造的；人工的	adj.做作的，不自然的
aspect,n.模样；面貌	n.方面
assignment,n.指派的职位	n.分配
association,n.协会	n.联合；结交
assumption,n.假定；假设	
astronaut,n.航天员	
athletic,adj.运动的；运动员的	adj.身强力壮的
atmosphere,n.大气	n.气氛
attain,"v.达到,获得	"
attempt,"v.尝试,企图	"
attent,"adj.注意的,留意的	"
authority,n.权威；威信	n.典据；权威著作
auxiliary,adj.辅助的	
bacteria,n.细菌	
ban,v.禁止	
barrier,n.障碍	
be aware of,知道	
behavior,"n.举止,行为	"
benefit,n.利益促进或增强福利的东西；好处	n.救济金
benign,adj.和蔼的；温和的；慈祥的	n.无危险的（疾病）
bias,n.偏见；成见	
biotech,n.生物工艺学	
blame,v.谴责；归咎	
blond,adj.金发的	
board,n.木板	n.委员会；理事会；董事会
boundary,n.界线；边界	
burden,n.负荷；负担	
candidate,"n.候选人,投考者	"
capital ,"n.首都	n.资金,资本"
catastrophe,"n.大灾难,大祸	"
category,"n.种类,部属;类目	n.范畴"
centralize,"v.集聚,集中	"
challenge,n.挑战	
characteristic,adj.表示特性的；典型的；特有的	
charge,v.要价；索价；	v.责任；管理；照料
circumstance,"n.环境,详情,境况	"
citizen,"n.市民,公民	"
claim,v.要求，认领，索赔	v.声言；自称；主张
clinical,adj.临床的；临诊的	adj.冷静的；相当客观的
clip,n.小夹子；回形针	
cloud,"n.云,烟云	n.朦胧"
cluster,n.一串；一束；一群	n.簇
coastal,adj.海岸的	
coincidence,n.巧合；巧合的事	n.一致；符合
combine,v.联结；结合	
commerce,n.商业	
commodity,n.货场；商品；物品	
communicate,v.联络；通信	
community,n.社区	n.大众
comparative,adj.比较的	
compatibility,n.适合，适应（性）	n.互换性；通用性
compensation,n.补偿，赔偿	
complaint,v.申诉；控告	
complexity,n.复杂性	n.联合体
complicate,v.变复杂	
comprehensive,adj.全面的；广泛的	
conceive,"v.构思,以为,持有	v.怀孕,考虑,设想"
concern,v关于；对…有关系	
concise,"adj.简单的,简练的	"
concrete,adj.具体的	n.混凝土
conduct,"n.行为,操行	v.处理；经营；引导；实施"
conflict,"n.斗争,冲突	v.抵触,冲突"
conform,"v.符合,相似	adj一致的,顺从的"
confront,"v.使面临,对抗	"
consequence,n.结局；结果	
conservation,n.保护；保存	
console,"v.安慰,藉慰	n.控制台"
constant,adj.不变的；固定的	
constrain,v.强使；强逼	
consult,v.参考；查阅；咨询	
consultancy,n.顾问	
consumer,n.消费者	
contact lens,n.隐形眼镜	
contemplate,v.注视；凝视	v.期望
content,"n.内容,容量	adj.满足的,满意的"
contradict,v.反驳；否认	
contrary,adj.相反的	
contribute,v.捐献；贡献	
controversy,"n.论争,辩论,论战	"
convenience,n.适合；方便	
conventional,adj传统的，习惯的	
converse,"adj.相反的,颠倒的	v.谈话,交谈,认识"
convince,"v.使确信,使信服	"
coordinate,n.同等者，同等物坐标（用复数）	vt.调整，整理
corporate,adj.社团的，全体的	
correlate,vt.叙述，使联系	
count,"v.数,计算	"
creature,n.人，动物，创造物	
crime,n.犯罪，犯罪行为	
critical,adj.评论的，鉴定的，批评的，危急的	
culture,n.文化，文明	
curative,adj.医疗的	n.药品
curriculum,n.课程	
cycle,n.周期，循环，自行车	vi.循环，轮转，骑自行车
debate,v.争论，辩论	n.争论，辩论
decade,n.十年，十	
deceptive,adj.欺骗性的	
decline,vi.下倾，下降，下垂	v.拒绝，衰落
deduce,"v.演绎,推理	"
deem,"v.想,认为,视为;相信	"
defeat,n.击败，战胜，失败	vt.击败，战胜，挫折
defect,n.过失，缺点	
deficiency,n.缺乏，不足	
definition,n.定义，解说，精确度，清晰度	
defy,vt不服从，藐视，挑衅，违抗	n.挑战
delegate,n.代表	v.委派
delicate,adj.精巧的，精致的，脆弱的，微妙的，棘手的，灵敏的	
demonstrate,vt.示范，证明，论证	vi示范
deportation,n.移送，充军，放逐	
depression,n.沮丧，消沉，低气压，低压	
deprive,	
desert,n.沙漠，应得的惩罚，功过	adj.沙漠的，荒凉的
desirable,adj.值得要的，合意的，悦人心意的	
desperately,"adv.拼命地,失望地	"
destructive,adj.破坏性的，	
detain,v.拘留，留住，阻止	
determine,v.决定，确定，测定	
digest,n.分类，摘要	vi.消化
dimension,n.尺寸，尺度	
diminish,v.（使）减少，（使）变小	
diplomatic,adj.外交的，老练的	
discipline,纪律，学科	v.训练
disease,n.疾病，弊病	
dismiss,vt.解散，下课，开除，解职	vi.解散
disservice,n.伤害，虐待，	
distinction,n.区别，差别，级别，特性	
distinguish,.区别，辨别.	
distress,n.悲痛，不幸，危难，忧伤	v.使悲痛，使忧伤
divorce,n.离婚，脱离	v.使离婚，与…脱离
domestic,adj.家庭的，国内的，驯服的，与人共处的	
dominate,v.支配，占优势	
dormant,adj.静止的，隐匿的	
downturn,n.低迷时期	
drag,v.拖，拖曳，缓慢而费力地行动	n.拖拉
dramatic,adj.戏剧性的，生动的	
drawback,n.缺点，障碍，退税	
dubious,adj.可疑的，不确定的	
dully,adv.钝地，不清楚地，迟钝地	
duplicate,adj.复制的，副的，两重的，完全相同的	n.复制品，副本
dynamic,adj.动力的，动力学的，动态的	
eager,adj.热心于，渴望着	
ease,n.安逸，安心，悠闲，不费力	vt.减轻，放松
effective,adj.有效的，有生力量，给人深刻印象的，	
ego,n.自我，自负，利己主义	
element,n.要素，元素，成分，元件，自然环境	
eliminate,vt.排除，消除	v.除去
elite,n.[集合名词]精华，精锐，中坚分子	
embarrass,vt.阻碍，麻烦，使困窘，使局促不安	
embrace,vt.拥抱，包含，收买，信奉	vi.拥抱，
emotion,n.情绪，情感，感情	
emphasize,vt.强调，着重	v.强调
enhance,vt.提高，增强	v.提高
enormous,adj.巨大的，庞大的，凶暴的	
enterprise,n.企业，事业，计划，事业心进取心	
enthusiasm,n.狂热，热心，积极性	
entity,n.实体	
envious,adj.嫉妒的，羡慕的	
equate,vt.使相等，[数]视为平等	vi.等同
equipe,n.〈法〉运动队（或比赛对）及其装备	
essential,adj.本质的，实质的，基本的，提炼的	本质，实质，要素，要点
establish,vt.建立，设立，安置，确定	v.建立
estimate,v.估计，估价，评估	n.估计，估价，评估
evaluate,估计，估价，求…的值	n.评价
evidence,n.明显，显著，明白，迹象，根据，证物	
evil,adj.邪恶的，不幸的，有害的，带来麻烦的	n.邪恶，罪恶，不幸
exaggerate,v.夸大，夸张	
exception,n.除外，例外，反对，异议	
excessive,adj.过多的，过分的，额外的	
exclusively,adv.排外地，专有地	
excrete,vt.排泄，分泌	
executive,adj.实行的，执行的，行政的	n.执行者，经理主管人员
exert,vt.尽（力），施加（压力等），努力	发挥，竭尽全力，尽
exhaust,v.用尽，耗尽，排气，	n.排气，排气装置
exotic,"adj.外(国)来的,外国产[制造]的	"
expenditure,n.支出，花费	
explode,vt.使爆炸	vi.爆炸，破除，推翻，激发
expose,vt.使暴露，受到，使曝光	v.揭露
fairly,adv.公正地，正当地，公平地，清楚地	
fatigue,n.疲乏，疲劳，累活，[军]杂役	vt.使疲劳，使心智衰弱
feature,n.特征，容貌，特色，特写	是…特色，特写，放映
feedback,n.反馈，反应	
feminine,adj.女人（似）的，娇柔的，阴性的，女性的	
fertile,adj.肥沃的，富饶的，能繁殖的	
fiber,n.=fibre光纤	
fiction,n.虚构，编造，小说	
figure out,v.合计为，计算出，解决，断定	
financial,aadj.财政的，金融的	
flexible,"adj.易弯的,挠性的,有弹性的	adj.灵活的"
fluctuation,n.波动的，起伏	
focus,n.焦点，焦距，（兴趣活动等的）中心，	vi.聚焦，注视
folk,n.人们	
foster,vt.养育，抚育，培养，鼓励	n.养育者，鼓励者
fragile,adj.易碎的，脆的	
fruitful,adj.多产的，富有成效的	
fulfill,vt.履行，实现，完成（计划等）	
fundamental,adj.基本的，基础的	n.基本原则，基本原理
funding,用发行长期债券的方法来收回短期债券	
gather,n.集合，聚集	vi.集合，聚集，渐增，化脓
gaze,v.盯，凝视	n.凝视
generate,vt.产生，发生	
gloomy,adj.黑暗的，阴沉的，令人沮丧的，阴郁的	
gossip,n.闲话，闲谈	
grab,v.抢夺，夺取，	
gradually,adv.逐渐地	
grant,vt.同意，准予，承认（某事）~	
grave,n.墓穴，坟墓	adj.严重的，（颜色）黯淡的，
guidance,n.指导，领导	
halt,n.停止，暂停，中断	vt.使停止，使立定
hamper,v.妨碍，牵制	
hardship,n.困苦，艰难，辛苦	
hassle,n.激战	vi.争论
hazard,n.冒险，危险，冒险的事	vt.冒…的危险，赌运气，
heal,v.治愈，医治，结束	
hemisphere,n.半球	
horrible,adj.可怕的，恐怖的，讨厌的	
hostile,adj.敌对的，敌方的	n.敌对
ideal,n.理想，	adj.理想的，完美的，想像的，唯心论的
identical,adj.同一的；同样的	
ignore,vt.不理睬，忽视，[律]驳回诉讼	
illuminate,vt.照明，照亮，阐明，说明，以灯火装饰	vi.照明
illustrate,vt.举例说明，图解，阐明，加插图于	vi.举例
imitate,vt.模仿，仿效，仿制，仿造	v.模仿
immigrant,adj.移民的，移居的，（从国外）移来的	n.移民，侨民
immune,adj.免疫的	
impact,n.碰撞，撞击，冲击，冲突，影响，效果	vt.挤入，撞击，压紧，
impartial,"adj.公平地,无私地	"
imperative,n.命令，诫命，需要，规则，祈使语据	adj.命令的，强制的，紧急的
impetus,n.推动力，促进	
implication,n.牵连，含意，暗示	
in advance,adv.预先	
in spite of,adv.不管，尽管	
in terms of,adv.根据，按照，在…方面	
indentify,v.认出；识别；鉴定	v.确定
individual,n.个人，个体	adj.个别的，单独的，个人的
induce,vt.劝诱，促使，导致，引起，感应	
indulge,.纵容	
inevitable,adj.不可避免的，必然的	
infancy,n.幼年	
influence,n.影响，感化，势力，有影响的人（或事）	vt.影响，改变
infusion,n.灌输	
ingredient,n.成分，因素	
inhabitant,n.居民，居住者	
inherit,"vt.继承,遗传所得	"
initiate,vt.开始，发动，传授	v.开始，发起
initiative,n.主动	
innate,adj.先天的，天生的	
innovation,n.改革，创新	
insanity,n.精神错乱，疯狂，愚顽	
