initially,ad.最初，开始
makeup,n.组织；性格；化装品
rmost,a.最外面的，最远的
optimum,n.最适条件，最适度
block,n.阻塞；障碍物；
damn,vt.诅咒n.诅咒；丝毫
outeintegral,a.组成的；整的
composition,n.组成，构成，结构
value,vt.尊重，重视，评价
dignity,a.尊贵；(举止)庄严
grunt,vi.作呼噜声；咕哝
abide,vt.遵守vt.忍受
composer,n.作曲家；调停人
slave,vi.作苦工vt.奴役
resultant,a.作为结果而发生的
consequent,a.作为结果的；必然的
hike,vi.作长途徒步旅行
action,n.作用；情节
trade,vi.做买卖；交换
deal,vi.做买卖；对付
lease,n.租约，契约，租契
charter,vt.租n.宪章；契据
headquarters,n.总局，总店
executive,n.总经理，董事
main,n.总管道，干线
overall,a.综合的n.工作服
conceit,n.自负，自高自大
ultraviolet,a.紫外的n.紫外线辐射
descendant,n.子孙，后裔；弟子
endow,vt.资助；赋予，授予
datum,n.资料；数据；已知数
qualification,n.资格；限制条件
bourgeois,a.资产阶级的；平庸的
woodpecker,n.啄木鸟
bump,vt.撞击vi.撞n.肿块
crash,vi.撞坏，摔坏，砸碎
way,n.状态，状况，规模
superb,a.壮丽的；超等的
ornament,n.装饰物vt.装修
decorative,a.装饰的；可作装饰的
ornamental,a.装饰的n.装饰品
mount,v.装配；固定n.支架
shipment,n.装货；装载的货物
can,vt.装罐头
array,vt.装扮n.队列；排列
diversion,n.转移；改道；娱乐
convert,vt.转变，改变，变换
transition,n.转变，变迁；过渡
torque,n.转(力)矩，扭(力)矩
workshop,n.专题讨论会
patent,a.专利的n.专利
clutch,vt.抓住vi.掌握，攫
nest,vi.筑巢vt.为…筑巢
coin,vt.铸造(硬币)
noted,a.著名的，知名的
watchful,a.注意的，警惕的
inject,vt.注射；注满；喷射
storage,n.贮藏，保管；仓库
position,n.主张，立场；形势
metropolitan,a.主要都市的n.大主教
principally,ad.主要，大抵
stalk,n.主茎，叶柄；高烟囱
preside,vi.主持；主奏
eject,vt.逐出，排斥；喷射
bamboo,n.竹；竹杆，竹棍
jewellery,n.珠宝，珠宝饰物
wrinkle,n.皱纹vt.使起皱纹
axial,a.轴的；轴向的
axis,n.轴，轴线；第二颈椎
ambient,a.周围的，包围着
anniversary,n.周年纪念日
peripheral,a.周界的；末梢的
perimeter,n.周(边)，周长
anybody,n.重要人物
responsible,a.重要的；可靠的
consequence,n.重要(性)，重大意义
category,n.种类，类目；范畴
species,n.种，物种；种类
hearty,a.衷心的；丰盛的
neutron,n.中子
intermediate,n.中间体；调解人
proton,n.质子，氕核
qualitative,a.质的；定性的
fabricate,vt.制作，组合；捏造
fabrication,n.制作，构成；捏造
volunteer,n.志愿者vt.志愿
rebuke,vt.指责，非难，斥责
indicative,a.指示的；陈述的
denote,vt.指示，意味着
instructor,n.指导者，教员
designate,vt.指出，指示；指定
colonial,a.殖民地的，殖民的
vocation,n.职业，行业
notable,n.值得注意的；著名的
merit,vt.值得vi.应受赏(罚)
weaver,n.织布工，编织者
brace,n.支柱vt.拉紧，撑牢
check,n.支票，帐单
symptom,n.症状，征候，征兆
regime,n.政体，政权；制度
second,vt.支持
bearing,n.支承；忍受；方位
politics,n.政纲，政见，策略
platform,n.政纲，党纲，宣言
confirmation,n.证实，确定；确认
testify,v.证明，证实，作证
audience,n.正式会见；拜会
correctly,ad.正确地，恰当地
positive,a.正的；阳性的
normalization,n.正常化，标准化
sign,n.征兆，迹象，病症
conqueror,n.征服者，胜利者
controversy,n.争论，辩论，争吵
suppress,vt.镇压；抑制；隐瞒
gust,n.阵风，一阵狂风
clinic,n.诊所，医务室；会诊
diagnose,vt.诊断(疾病)
sincerity,n.真诚，诚意；真实
cherish,vt.珍爱；怀有(感情)
detective,n.侦探，密探
underline,vt.着重；预告
grind,vt.折磨，压榨
discount,n.折扣；打折扣卖
literally,ad.照字义，逐字地
illuminate,vt.照明，照亮；阐明
summon,vt.召唤；鼓起(勇气)
marsh,n.沼泽地，湿地
entertainment,n.招待，招待会
hindrance,n.障碍，妨碍
hose,n.长筒袜；软管
sofa,n.长沙发，沙发
tensile,a.张力的；能伸长的
warfare,n.战争，战争状态
battle,vi.战斗vt.与…作战
predominant,a.占优势的；主要的
